index,MMFF_energy,DFT_energy,dE,smarts,dmae,rmsd,"q_norm(1.7,0.01,0.0)","q_norm(3.0,0.5,0.0)","q_norm(6.5,3.0,0.0)","q_norm(5.0,2.0,0.0)","q_norm(1.7,0.1,0.0)","q_norm(2.0,0.1,0.0)","q_norm(1.0,0.1,0.0)","q_norm(3.0,0.1,0.0)","q_norm(2.5,0.1,0.0)","q_norm(1.6,2.3,0.0)","q_norm(0.1,1.0,0.0)","q_norm(2.0,1.0,0.0)","geodesic_length(1.7,0.01,0.0)"
12,-344.160196754,-344.162305663,1.3233603770451146,[#6:1](-[#6@:2]1(-[#6:3](-[#7:4](-[#6@@:5](-[#6:6]-1(-[H:17])-[H:18])(-[#6:7]#[#7:8])-[H:16])-[H:15])(-[H:13])-[H:14])-[H:12])(-[H:9])(-[H:10])-[H:11],0.0611907651968193,0.1887228835358526,0.0736131860994342,0.1074959830982641,0.372913780218321,0.2587747091591886,0.0807000374425503,0.075426041270198,0.1181213060376516,0.0828077255227097,0.0759171359378163,0.2880817483618427,0.1879086381081131,0.1519801898297683,0.07381547533670103
22,-349.112529826,-349.144137778,19.834289330257548,[#8:1](-[#6:2](-[#6:3](-[#6@:4]1(-[#6@:5]2(-[#6:6](-[#6:7](-[#6@@:8]-1-2-[H:20])(-[H:18])-[H:19])(-[H:16])-[H:17])-[H:15])-[H:14])(-[H:12])-[H:13])(-[H:10])-[H:11])-[H:9],0.0946390519973116,0.1542168019874814,0.1833657938627073,0.2650307829438384,0.7786172134036691,0.558556206489255,0.1968540007103737,0.1934176307925095,0.227489993138699,0.2157039745318268,0.1992405667925259,0.5681282251108397,0.3066787458285538,0.3339351377133392,0.1839376524218527
24,-352.593853137,-352.600010979,3.8641041937127576,[#6:1](-[#6:2](-[#6@:3]1(-[#6@:4]2(-[#6:5](-[#6:6](-[#6:7](-[#6@@:8]-1-2-[#6:9](-[H:23])(-[H:24])-[H:25])(-[H:21])-[H:22])(-[H:19])-[H:20])(-[H:17])-[H:18])-[H:16])-[H:15])(-[H:13])-[H:14])(-[H:10])(-[H:11])-[H:12],0.0534971085031136,0.0956506955462267,0.0996507063622114,0.1502740158036452,0.4436743438846772,0.3187484953506587,0.1069675021946925,0.1067058949276655,0.1228254420694094,0.1231349602134841,0.112315717842633,0.3140141588735184,0.1852656333444956,0.184309227181173,0.09967146964752459
25,-434.200008151,-434.205104058,3.197729920560254,[#6:1](-[#7:2](-[#6:3](=[#8:4])-[#6@:5]1(-[#7:6](-[#6@:7]-1(-[#6:8]#[#7:9])-[H:16])-[H:15])-[H:14])-[H:13])(-[H:10])(-[H:11])-[H:12],0.0859268691189148,0.2467734430672965,0.102417928766076,0.1386232704621646,0.5093670711539325,0.3482443822535137,0.1129636397323309,0.1007418749633207,0.1748064330990952,0.1034401255568374,0.0959839658110916,0.405762022851075,0.2369732553972874,0.2105095628747849,0.10330155677598213
37,-439.180114937,-439.19627316,10.139438013719555,[#6:1](-[#8:2]-[#6:3](=[#8:4])-[#7:5]1-[#6@:6]2(-[#6:7](-[#6@@:8]-1(-[#6:9]-2(-[H:17])-[H:18])-[H:16])(-[H:14])-[H:15])-[H:13])(-[H:10])(-[H:11])-[H:12],0.0583823521364653,0.1326606408151219,0.1686004347266051,0.2770680020071004,0.702304734672152,0.5226383696698259,0.1785405019621118,0.191460199100371,0.1555177329719397,0.2367303318651686,0.2139089690983742,0.4337311064043784,0.1863308338574792,0.2923588144117865,0.16872620995347554
89,-439.216879988,-439.223045915,3.8691776078031257,[#8:1](-[#6@:2]12-[#6:3](-[#6:4](-[#6@:5]-1(-[#7:6](-[#6:7]-2(-[H:16])-[H:17])-[#6:8](=[#8:9])-[H:18])-[H:15])(-[H:13])-[H:14])(-[H:11])-[H:12])-[H:10],0.0758831590279907,0.1938611789504115,0.1235609204977583,0.2067394283120604,0.6156367086055284,0.4415644238835868,0.132873164372011,0.1368568750863623,0.1544622178758942,0.1731965995915707,0.1523356742685379,0.3974073457369315,0.2283805034080729,0.2347149286648724,0.12546433385737268
94,-461.507657727,-461.520080111,7.795163648327405,[#6:1](-[#8:2]-[#6@:3]1(-[#6@@:4](-[#6:5](-[H:15])(-[H:16])-[H:17])(-[#6@@:6](-[#8:7]-[H:19])(-[#6@:8]-1(-[#8:9]-[H:21])-[H:20])-[H:18])-[H:14])-[H:13])(-[H:10])(-[H:11])-[H:12],0.0607784379472305,0.0919836022212519,0.1415210325211957,0.2014019332431896,0.5760012742740636,0.4163287468715314,0.1517259915505674,0.1486627502612193,0.1720206898776385,0.1645015487461555,0.1523689906018396,0.4240263535908328,0.2093444816054782,0.2529024966993359,0.14155957541047262
106,-459.096086395,-459.101262634,3.2481390116410296,[#8:1](-[#6@@:2](-[#6:3](=[#8:4])-[H:12])(-[#6@:5]1(-[#8:6]-[#6:7](-[#6:8](=[#6:9]-1-[H:17])-[H:16])(-[H:14])-[H:15])-[H:13])-[H:11])-[H:10],0.0679991500062311,0.1364936412711957,0.0963173449813793,0.1645355619476964,0.5362345464794356,0.3685827095676941,0.10343662593812,0.1065136273643739,0.1165701147757955,0.1388335573021784,0.1195654616917454,0.3047861860107352,0.180312187564178,0.1816813399502209,0.09641298046452791
110,-416.942014738,-416.945380434,2.112006126235165,[#8:1]=[#6:2]1-[#6:3](-[#7:4](-[#6@@:5](-[#6:6](=[#6:7]-1-[H:15])-[H:14])(-[#6:8]#[#7:9])-[H:13])-[H:12])(-[H:10])-[H:11],0.023000206310159,0.036680041454812,0.0627073442896081,0.1059340028482219,0.3529292344637589,0.2338369243362552,0.0667271921030776,0.0699630074742497,0.0638895326771468,0.0908836494426935,0.0785950885305705,0.1686409974319079,0.0672449745978762,0.1101244867307298,0.06271186994434033
113,-402.090122904,-402.099855064,6.107022601411269,[#8:1]=[#6:2]1-[#6@:3]2(-[#6:4](-[#6:5](-[#6@@:6]-1(-[#6@:7]1(-[#7:8](-[#6@@:9]-2-1-[H:18])-[H:17])-[H:16])-[H:15])(-[H:13])-[H:14])(-[H:11])-[H:12])-[H:10],0.0420138035168731,0.0943061057082278,0.1345411265677931,0.1965304643237657,0.5628269481007603,0.3975763574737815,0.1433367367373555,0.1446022255426707,0.145980727164402,0.1631984635732817,0.1511492930873583,0.3716755980265055,0.1602005049808585,0.2335765119773676,0.13462541340083595
